SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
0,102001,United States,Country,0.92,0.919047619047619,0.9269662921348315,0.932262849258365,0.9370529327610873,0.9380863039399625,0.933955970647098,0.9325588899645046,0.9259259259259259,0.9215686274509803,0.9178743961352657,0.9140869565217391,0.9109109109109109,0.9095238095238095,0.9128386336866903,0.9186046511627907,0.9253704705246079,0.9307769066889111,0.9313556398758193,0.9289031797070382,0.9250019270875087,0.9227692307692308,0.9222222222222223,0.920935412026726,0.9194159004867496,0.9210526315789473,0.9292035398230089,0.9376309018143243,0.946236559139785,0.9505941213258287,0.9517664139377319,0.9500023750059375,0.9482982592881268,0.9477124183006536,0.9471766848816029,0.9457627118644067,0.9446543676372527,0.9466666666666667,0.9526077637532746,0.9583333333333334,0.9629814907453726,0.9661286656058196,0.9663250366032211,0.9640745793542519,0.9606404269513009,0.9567751335599806,0.9528346831824679,0.949438202247191,0.9461538461538461,0.9481481481481482,0.9536784741144414,0.9583991574512901,0.963265306122449,0.9661091221463873,0.9645131938125568,0.9612817089452603,0.9573597976729372,0.953462967373184,0.951048951048951,0.9483146067415731,0.9467455621301775,0.9499749874937469,0.9584930821803634,0.9644444444444444,0.9695290858725761,0.9714122355631789,0.9698996655518395,0.966860610025237,0.9636363636363636,0.9603201067022341,0.957914903471652,0.9565217391304348,0.9547738693467337,0.9567198177676538,0.9645909645909646,0.9701940388077616,0.9743859649122807,0.9762532981530343,0.975609756097561,0.972972972972973,0.9696969696969697,0.9673366834170855,0.9652509652509652,0.9625912408759124,0.9606986899563319,0.9627406851712929,0.9696969696969697,0.9750012187515235,0.978865406006674,0.9809523809523809,0.9797684576237111,0.9764426242314002,0.9737827715355806,0.970873786407767,0.96875,0.966542750929368,0.9647058823529412,0.96875,0.975,0.9795918367346939,0.9825,0.9838741415294888,0.9814814814814815,0.9770507820504624,0.9729583558680368
1,394913,"New York, NY",Msa,0.9,0.8973214285714286,0.8984002117778962,0.9068541300527241,0.9117647058823529,0.920901446193275,0.9215384615384615,0.92,0.9171907514707993,0.9092975676290066,0.9107644007714492,0.9054252792106934,0.9,0.8997955010224948,0.8973227419829362,0.903010033444816,0.9045226130653267,0.912343610429954,0.9213483146067416,0.9201840368073615,0.90801886792452835,0.9029745042492918,0.8928571428571429,0.8900444955308433,0.8831230338876199,0.8897150965649417,0.8901780356071214,0.8997722095671982,0.9084847474579096,0.9172781854569713,0.926523790578953,0.9255724147980837,0.9207388140314969,0.918580375782881,0.916834273138762,0.918222399230016,0.9134406263592867,0.9185185185185185,0.9126984126984127,0.924812030075188,0.9371262264702607,0.9451490263634785,0.9500027708415799,0.9533775536983469,0.9498956158663883,0.944,0.9405405405405406,0.937626526732596,0.9366921612504593,0.9332879200726611,0.9351351351351351,0.9348914858096828,0.9483512412004446,0.9551515151515152,0.9571428571428572,0.9547190398254228,0.9481630135026551,0.9412780656303973,0.9376572497189624,0.9361374711464479,0.9336445481827276,0.9332121971458653,0.933786078098472,0.943126607602172,0.9491733006736068,0.9533600217106716,0.9598588089122425,0.9584415584415584,0.9523809523809523,0.947075208913649,0.9431628154454241,0.9418064398891342,0.9397400076748161,0.9393939393939394,0.9428578163274928,0.9451762044562007,0.9546313799621928,0.9593794651969789,0.963651323940991,0.9626274065685164,0.9581749049429658,0.9554140127388535,0.9533395872420263,0.9502375593898474,0.9494743981010512,0.9487026497766354,0.9517241379310345,0.9584746113989637,0.964824120603015,0.9679536865817504,0.9713876967095851,0.9705882352941176,0.9666827780463008,0.9645149885132733,0.9616438356164384,0.9609665427509294,0.9572090340800137,0.9546593186372746,0.9594882729211087,0.9621052631578947,0.9692605926336195,0.9729019466954081,0.9743059148128987,0.971168787212111,0.9660107334525939
2,753899,"Los Angeles-Long Beach-Anaheim, CA",Msa,0.9628518240671279,0.9555555555555556,0.966243419015175,0.9697986577181208,0.9692671394799054,0.9688482423549586,0.968574195926274,0.9644234890698671,0.9586767474953645,0.9548043338852492,0.9508547008547008,0.9457364341085271,0.9464285714285714,0.9402667831136888,0.9454545454545454,0.9501385622861134,0.9513513513513514,0.9513590844062947,0.9510185609282644,0.948509485094851,0.942079553384508,0.9447268476056374,0.9444444444444444,0.9451824706061994,0.9443039377057483,0.9487750556792873,0.9509453244762391,0.9590610063712085,0.9656652360515021,0.9742174652586943,0.9762246558197747,0.978236704235699,0.979381443298969,0.9821528109571588,0.9835772414925303,0.9854014598540146,0.9910407111581232,0.9983925701018039,1,1,1.000111123458162,1.0002105939907944,1,1,0.9980430528375733,0.9876619418947747,0.9819639278557114,0.9797101449275363,0.9762367867486073,0.9793253536452666,0.9836065573770492,0.9854014598540146,0.9858870967741935,0.984375,0.9835390946502057,0.9791666666666666,0.9761620638708943,0.9733333333333334,0.9719415315974479,0.9705910899737941,0.9696058989723251,0.9762202753441802,0.981014210467979,0.9865894031632934,0.989247311827957,0.9895604454809239,0.9885386819484241,0.9871677252411197,0.9853416184369104,0.9810362321632695,0.9782792979170554,0.9795833178258149,0.9780672353423335,0.9817850637522769,0.9882110134775947,0.9902439024390244,0.9927007299270073,0.9928545900132748,0.9932508436445444,0.9889713039273749,0.9862155388471178,0.9836214605067064,0.9828326180257511,0.9803921568627451,0.9803641454581818,0.9833552029071673,0.9910736875073708,1,1,1,1,0.9945945945945946,0.9907207144352195,0.9904761904761905,0.9893778452200304,0.987368365067546,0.9879839786381842,0.9931798930565211,1,1,1,1,0.9940273037542662,0.9905482041587902,0.9836065573770492
3,394463,"Chicago, IL",Msa,0.8811748998664887,0.8773014340391462,0.8796450503660305,0.887233058957217,0.8948206503519947,0.9078769077164457,0.9045840449189714,0.9015025041736227,0.9,0.89289979960323,0.884034299714169,0.8781030011115228,0.8714285714285714,0.8805031446540881,0.8785881238892612,0.88,0.8909034073147859,0.8985200896891845,0.8947368421052632,0.8981818181818182,0.8864482825365728,0.8857808857808858,0.8771428571428571,0.8817635270541082,0.8790170132325141,0.8779728828628585,0.8769230769230769,0.8943089430894309,0.9081484923529823,0.9187245934959349,0.9209454545454545,0.9215897212201237,0.9209419680403701,0.9182389937106918,0.9171762090050027,0.9197632038115771,0.9132751072046559,0.9173553719008265,0.9237563085796684,0.9328917835671343,0.9435897435897436,0.9515649580104573,0.95458102148243,0.9531291140073723,0.9520174418604651,0.9491778774289985,0.9422878667724028,0.9390243902439024,0.9366844111372956,0.9398496240601504,0.9372915276851234,0.9484536082474226,0.9554140127388535,0.9584393553859203,0.9569377990430622,0.95458102148243,0.9485733443681581,0.9413821509880311,0.9362478883996438,0.9312320916905444,0.9255813953488372,0.9285714285714286,0.9327731092436975,0.9464450600184672,0.9555555555555556,0.959425161201811,0.9565217391304348,0.9529683738868624,0.948509485094851,0.9441082574725643,0.9396669314630348,0.9338235294117647,0.9290322580645162,0.9302325581395349,0.9433962264150944,0.9546630034128455,0.9607843137254902,0.9631019387116948,0.9629629629629629,0.9606986899563319,0.9553903345724907,0.9520460885385081,0.9485981308411215,0.9444444444444444,0.9409409409409409,0.9428609912693521,0.9523809523809523,0.9626274065685164,0.968,0.9703703703703703,0.9682539682539683,0.9642793344561833,0.9607686148919136,0.9556840077071291,0.9523809523809523,0.9488349092734994,0.9444990181855587,0.9444444444444444,0.9571428571428572,0.9680365296803652,0.9705141502444806,0.9720780782073988,0.9696969696969697,0.9649749821300929,0.9609120521172638
4,394514,"Dallas-Fort Worth, TX",Msa,0.9734756504336224,0.9726171669299631,0.9866055555555555,0.986040044493882,0.9897736440231701,0.9843236189647673,0.9732508833922261,0.9674583969640951,0.9765975696926376,0.9607354101910384,0.9567586126845575,0.9424816886602971,0.944029432668794,0.9469485294117647,0.9545454545454546,0.9604841360779304,0.9632466666666667,0.9634205016506565,0.956945945945946,0.96,0.9552,0.9544516658437998,0.9515155311269716,0.9580839428331231,0.9671014700464154,0.9747973333333333,0.9693380973261568,0.9790914305162184,0.980771980774783,0.982431428490648,0.9818818181818182,0.9818823529411764,0.9810907097835023,0.9718303968871596,0.9722960552089925,0.9820697614773019,0.977478456375839,0.9809217999126256,0.9851362025277487,0.9894916666666667,0.9891377983063895,0.9869154299006099,0.9849906191369606,0.9838290909090909,0.9815950920245399,0.9771010309278351,0.9743321525317774,0.9732686089148859,0.9672688889127865,0.9708990416058143,0.9733333333333334,0.9819398188836951,0.9843831578947368,0.9827533333333334,0.9836065573770492,0.9773438675696012,0.9777157045313469,0.965443404255319,0.9675529411764706,0.9723756906077348,0.971426983774172,0.9707793103448276,0.9844108527131783,0.9870710001621008,0.9912551724137931,1.0001384615384616,0.98934,0.9886058981233244,0.9849561863297336,0.9761904761904762,0.9779531160663236,0.9734991887506761,0.9745549283543204,0.9792635658914728,0.987901754385965,0.9897641172265904,0.9946848484848485,0.9933642145241248,0.9914421939297976,0.9899921443476913,0.9833348232368381,0.9823529411764705,0.9721971913933549,0.9722350875459549,0.9784143045373723,0.9783464566929134,0.9837341176470589,0.9893417500556234,0.9886939269611186,0.9908592321755028,0.9891086908201823,0.9817766708177667,0.9803835784313726,0.9740883190883192,0.9732592262402259,0.9719097744360903,0.9722222222222222,0.9770894526034712,0.9799918334013883,0.989046401972447,0.9906461699713294,0.987309007791906,0.9817766708177667,0.9751209992193599,0.974003355704698
5,394974,"Philadelphia, PA",Msa,0.9186440677966101,0.9142857142857143,0.9201840368073615,0.9311524549614478,0.9366474689299787,0.941433755025988,0.9344564359041854,0.9245483959232651,0.9237875288683602,0.9176470588235294,0.9146903703991641,0.91,0.9042419705837073,0.8970976253298153,0.8987361252342493,0.9005669428696031,0.9172413793103448,0.9244490248929761,0.9252006879270838,0.9149392423159399,0.908245681546092,0.9053233643832241,0.8999843211037943,0.9006004002668445,0.8932111608487625,0.8950508950508951,0.9,0.906816760475297,0.92,0.9296482412060302,0.9334131981595272,0.9293124859436572,0.923195296624381,0.9194159004867496,0.9207459207459208,0.9233333333333333,0.9171762090050027,0.9188888777625347,0.9215686274509803,0.9316037735849056,0.9408063580461771,0.95,0.9537594684029151,0.9464575446187128,0.9422788461538462,0.9380863039399625,0.9303101033677893,0.9306803594351734,0.9285459001327478,0.9244992295839753,0.9306654257794323,0.936,0.9453333333333334,0.9554550606117845,0.9522042120556296,0.9483132633826652,0.9426164249192932,0.9396499919156596,0.9330623609799811,0.9279794168096055,0.9243697478991597,0.9239654260643018,0.9288368105172906,0.9438703156555124,0.9547681576785954,0.9550205873868068,0.9587328053355565,0.9515994399267597,0.9433962264150944,0.9436002378703606,0.941175294117647,0.9380777603488519,0.9310344827586207,0.9333333333333333,0.9361702127659575,0.9504320145520692,0.9615384615384616,0.9655172413793104,0.9647058823529412,0.9617801847726536,0.9574468085106383,0.9552238805970149,0.950950950950951,0.9501166108943413,0.9461325966850829,0.9426702577914583,0.9521858230706544,0.9615236629472874,0.9675675675675676,0.9718814870730327,0.9705882352941176,0.9655172413793104,0.9629492404594294,0.9612817089452603,0.9573492397030858,0.9552238805970149,0.953125,0.9497582891239651,0.9563636363636364,0.9633333333333334,0.971830985915493,0.9771428571428571,0.9750297265160524,0.9733333333333334,0.9669889963321107
6,394692,"Houston, TX",Msa,0.9471794871794872,0.9407636363636364,0.9504242424242424,0.9545489189189189,0.9601950889470652,0.9553316602055,0.946235997012696,0.9440601492310035,0.9364548494983278,0.9248873489420437,0.9117889411764706,0.9178468468468468,0.9046380041738356,0.9143116531165312,0.9188193548387097,0.9243589743589744,0.9217847744247862,0.9212142481137041,0.9142420500154369,0.9201819836214741,0.9225879662132515,0.9241429054018262,0.91965752327456185,0.9228602293513755,0.9193293293293293,0.9338897637795276,0.9278361581920904,0.9292910385817879,0.9402352941176471,0.9496231356489205,0.9470395634379263,0.9545680252186395,0.9560559914104818,0.9410491206791995,0.94150965272928,0.940393747072986,0.9472841051314143,0.9433018169112508,0.9479305740987984,0.9502232112723037,0.9552377777777777,0.9559747798738993,0.954948586118252,0.9489892343127617,0.9579019770452796,0.9491228070175438,0.941009410094101,0.938125,0.9412642814549792,0.9424460216847372,0.9485028022417934,0.9574468085106383,0.9574919364263177,0.9647396374831758,0.956608,0.9637890079641336,0.95466,0.9491403535767888,0.9448783340717767,0.9502444444444444,0.9671302729318864,0.962684549131035,0.9699066434034451,0.9706816560888365,0.9778402253232621,0.9818181818181818,0.9728196363636363,0.9716283479349186,0.9656428214107053,0.957258887105996,0.9609756097560975,0.953696,0.9568373510268107,0.9553870967741935,0.9652295365874297,0.9723619425889212,0.9714446529080676,0.9705056179775281,0.9711595055915244,0.9674756831866604,0.9603841536614646,0.9492769528728212,0.9518220677554325,0.9490940465918896,0.9506939371804237,0.950304584959119,0.9596250206923951,0.9585306915134129,0.96673125,0.9630874932853184,0.9683004834510971,0.9588525683789193,0.9523525908278737,0.9562890625,0.957012151536812,0.9507554496615082,0.9557912280701755,0.9573067566120128,0.9597410526315789,0.9680821633201775,0.9693718012533343,0.9668912175035338,0.966352657004831,0.9584295774647887,0.9620978642876453
7,395209,"Washington, DC",Msa,0.9500848365779604,0.951641095358322,0.9542127247944423,0.9647660188861591,0.965105475139624,0.9657565806895821,0.9617850730956655,0.9575151726410185,0.9549150245610073,0.9555555555555556,0.9544117647058824,0.9523582658408766,0.9458402441582912,0.9448109772457232,0.9553051464364314,0.9623035841987038,0.9633882086373511,0.9662200415172674,0.963502565065065,0.959983993597439,0.9504536260854393,0.9471766848816029,0.95,0.9480454312006938,0.9419506766238165,0.9479808551787772,0.9574225488739652,0.969549259391577,0.9745925726283575,0.975991649269311,0.9743589743589743,0.9709302325581395,0.9714239985366746,0.9705882352941176,0.9710144927536232,0.969104245387864,0.966183574879227,0.9698996655518395,0.9793388429752066,0.9875617264658083,0.9904835890464168,0.99385085123881,0.9914739969609992,0.9871241992379269,0.9832519108950235,0.9812409812409812,0.9764467730412003,0.9739607535230178,0.9670930228301109,0.9720226205932287,0.9799773535647851,0.9851450290058011,0.9885204081632653,0.9874686716791979,0.9819639278557114,0.9771707771056305,0.9722235725346151,0.9706257982120051,0.9674880709020157,0.9611824425201553,0.9595959595959596,0.9646302250803859,0.9752234891396323,0.9824937477670597,0.9863851069741595,0.9851128169341707,0.980744211699655,0.9766805411601758,0.9722357254961874,0.9705882352941176,0.9687750200160128,0.9648328940596684,0.9631019387116948,0.9647721603938162,0.9752438109527382,0.9843520828968171,0.9883305548940224,0.9865470852017937,0.9858551221603086,0.98,0.9769914414739596,0.9774120684091643,0.9760335444219475,0.9713306985741089,0.9713406424312367,0.9736675847288221,0.9837432263443101,0.9919992725950173,0.9925377227472802,0.991869918699187,0.9883305548940224,0.9838949856978205,0.9824937477670597,0.9821428571428571,0.9803921568627451,0.9749744637385087,0.9732846715328467,0.9785376500545653,0.9885487263379295,0.9986824769433466,1,1,0.993547693225737,0.9873678783191544,0.9836612204068023
8,394856,"Miami-Fort Lauderdale, FL",Msa,0.88,0.8652884294764922,0.8699453647990912,0.8666666666666667,0.878129924318086,0.8924731182795699,0.9051315789473684,0.9098586057958831,0.9041939207387457,0.9063600677319668,0.9062376871552403,0.9029335881509795,0.9057644915889853,0.9032258064516129,0.8918918918918919,0.8915770609318996,0.8928571428571429,0.8978573973230191,0.9033121445299431,0.9121245828698554,0.9142857142857143,0.9092092833614408,0.9119496855345912,0.9171597633136095,0.9180692902635593,0.9196428571428571,0.9190505505780611,0.9176524568109106,0.9230769230769231,0.929368029739777,0.9326424870466321,0.9380863039399625,0.9375,0.9424039665468926,0.9422357311719014,0.938762947468923,0.9427512059091007,0.9361702127659575,0.9368421052631579,0.9398496240601504,0.9422492401215805,0.942945122621797,0.9491525423728814,0.9523809523809523,0.9519038076152304,0.9502298908060348,0.9487179487179487,0.9454545454545454,0.9438528557599225,0.94,0.9382195205993833,0.9368191721132898,0.9393939393939394,0.9422850412249706,0.9411764705882353,0.9408271428607415,0.942289952233566,0.940435736677116,0.9364548494983278,0.9367088607594937,0.9352941176470588,0.9333333333333333,0.9342857142857143,0.9357798165137615,0.9419985129386526,0.9457364341085271,0.9454545454545454,0.9445494060408486,0.9446440442626665,0.9433962264150944,0.9430902124368807,0.9427769319943573,0.9402864611566863,0.9377344336084021,0.9420289855072463,0.9415847310584152,0.9420935412026726,0.9459459459459459,0.9461545739656168,0.9473684210526315,0.9453302961275627,0.9447943682845499,0.9441233140655106,0.9421052631578948,0.9387755102040817,0.9395973154362416,0.9392523364485982,0.9402985074626866,0.9418282548476454,0.9416666666666667,0.9418436940966011,0.9440559440559441,0.943076923076923,0.944,0.9403246923278346,0.9411764705882353,0.9388646288209607,0.9411764705882353,0.9424460431654677,0.9437541587180946,0.9425287356321839,0.9452054794520548,0.9444444444444444,0.9466666666666667,0.9428571428571428
9,394347,"Atlanta, GA",Msa,0.877742946708464,0.874819072649331,0.879245283018868,0.8909062491119384,0.8931761343336906,0.9085191538021726,0.9026548672566371,0.9001318224824375,0.8889899909008189,0.8911325724319579,0.8746132440867898,0.8761904761904762,0.8695652173913043,0.8570407433881344,0.8709677419354839,0.8757396449704142,0.8888888888888888,0.8936333907291969,0.8874007936507936,0.899581589958159,0.8874245741503326,0.8928571428571429,0.9056603773584906,0.9006088421087308,0.9044776119402985,0.8992805755395683,0.9149164296686083,0.9330222613278383,0.9369924812030075,0.9392230611614787,0.9403635138265833,0.9437533802055165,0.9411764705882353,0.9427517992868027,0.9428571428571428,0.9488372093023256,0.9463066755364566,0.9547380050710799,0.9565217391304348,0.9615384615384616,0.9619238476953907,0.963302752293578,0.9635036496350365,0.9629561017111962,0.9607072691552063,0.9581647676913747,0.9547738693467337,0.9521080332409972,0.9527809779548704,0.952,0.9559776392582587,0.9629897134202929,0.9671009343334649,0.9651891257238525,0.9629629629629629,0.958,0.9542972816657027,0.9521191121113932,0.9480661868862956,0.9481731859177605,0.9481481481481482,0.950950950950951,0.9612244897959183,0.9647495361781077,0.9702517162471396,0.9699769053117783,0.9679706341822447,0.9637305699481865,0.9616666666666667,0.9583333333333334,0.9574468085106383,0.9562043795620438,0.9550435480101812,0.96,0.9664256078793475,0.9739776951672863,0.9785714285714285,0.9785202863961814,0.9764018809870683,0.9741969457609269,0.9702850212249848,0.9696969696969697,0.9682804674457429,0.9661220904699166,0.9670696123384743,0.9673115410273516,0.9758702939096005,0.9793601431370877,0.9819705285710328,0.9812996686570556,0.9792776384530786,0.975609756097561,0.973632368540688,0.9706152185644901,0.9705882352941176,0.9702772220634467,0.9682783133703379,0.9748427672955975,0.9794217244073977,0.9866666666666667,0.9876923076923076,0.986798239765302,0.9848484848484849,0.9799866577718479,0.975
